year,eweek,total_cases,avg_temp_max,avg_temp_med,sum_precip_tot,avg_humid,dengue,dengue symptoms,repellent
2015,24,10420,29.72,26.75,218.76,65.01,14,4,1
2015,25,7387,29.71,26.74,221.71,63.35,9,3,1
2015,26,5311,29.73,26.76,314.95,61.8,7,2,1
2015,27,4230,29.85,26.87,440.26,60.29,5,1,1
2015,28,2335,30.14,27.13,531.81,58.74,6,2,1
2015,29,2681,30.67,27.6,529.17,57.1,5,1,1
2015,30,2418,31.43,28.29,424.01,55.3,5,1,1
2015,31,2265,32.35,29.11,276.19,53.36,5,1,1
2015,32,1938,33.32,29.99,159.6,51.28,6,2,1
2015,33,1756,34.24,30.82,147.7,49.09,5,1,1
2015,34,1856,35.05,31.54,289.49,46.84,5,1,1
2015,35,1501,35.72,32.15,537.57,44.69,5,1,1
2015,36,1510,36.3,32.67,806.88,42.88,5,1,1
2015,37,1166,36.8,33.12,1009.51,41.64,5,1,1
2015,38,1711,37.25,33.52,1072.61,41.19,5,1,2
2015,39,2055,37.61,33.85,1008.15,41.63,5,1,2
2015,40,2005,37.83,34.04,893.48,43.06,5,1,2
2015,41,2160,37.82,34.04,818.21,45.51,5,1,2
2015,42,2207,37.53,33.77,866.7,49.01,5,1,2
2015,43,2534,36.95,33.25,1064.87,53.36,6,1,1
2015,44,2293,36.22,32.6,1350.78,57.99,7,1,1
2015,45,2450,35.48,31.93,1636.79,62.2,8,2,2
2015,46,3157,34.88,31.39,1835.46,65.34,8,2,3
2015,47,3432,34.54,31.09,1887.42,66.92,10,2,5
2015,48,4138,34.43,30.98,1822.26,67.1,15,3,11
2015,49,4966,34.44,31.0,1711.63,66.35,19,4,20
2015,50,5940,34.49,31.04,1632.19,65.15,17,4,16
2015,51,7012,34.48,31.03,1650.48,63.96,16,4,11
2015,52,5501,34.41,30.97,1767.67,62.99,20,5,8
2015,53,5012,34.33,30.9,1082.2,62.38,31,9,9
2016,1,13382,34.28,30.85,2064.1,61.66,27,8,7
2016,2,14726,34.35,30.92,2111.07,61.22,29,7,7
2016,3,17798,34.55,31.1,2039.53,60.93,36,8,10
2016,4,19557,34.8,31.32,1881.15,60.86,42,9,19
2016,5,22275,34.98,31.48,1687.01,61.14,55,13,15
2016,6,22223,34.99,31.49,1508.82,61.88,88,17,13
2016,7,28311,34.76,31.28,1385.16,63.09,100,19,10
2016,8,30204,34.37,30.93,1306.3,64.48,86,18,7
2016,9,30428,33.96,30.56,1237.05,65.59,84,18,7
2016,10,31266,33.7,30.33,1138.79,65.92,72,16,5
2016,11,30217,33.73,30.36,978.2,65.06,57,15,5
2016,12,25951,34.03,30.63,761.27,63.1,62,16,5
2016,13,27789,34.4,30.96,532.87,60.6,66,16,5
2016,14,23430,34.63,31.17,346.64,58.27,50,13,5
